grid,laps,year,round,driver_age,driver_experience,constructor_experience,constructorId,circuitId,avg_grid_last_5_cat,avg_finish_last_5_cat,podium_finish
1,50,2024,2,27,186,743,9,77,front,strong,1
1,72,1999,2,31,116,936,1,18,front,strong,1
0,0,1994,8,32,64,14,30,9,back,weak,0
10,66,2013,5,27,43,195,10,4,mid,average,0
12,79,1968,7,23,8,542,6,38,mid,strong,1
9,70,2017,18,27,133,376,10,32,mid,average,0
18,18,1977,1,29,2,194,63,25,back,weak,0
13,56,2009,4,25,43,113,2,3,back,weak,0
10,58,2008,1,36,253,117,11,1,back,weak,0
11,22,1981,2,25,44,331,34,36,back,weak,0
11,0,2024,4,35,242,6,215,22,back,weak,0
10,53,1996,14,24,62,188,17,14,mid,average,0
19,42,1986,10,40,110,96,26,10,back,weak,0
22,37,1978,13,41,71,254,63,39,back,weak,0
9,57,2010,9,38,296,1083,3,12,back,weak,0
0,0,1989,10,35,76,69,33,11,mid,weak,0
13,52,2011,13,39,319,1129,3,14,back,weak,0
1,55,2001,2,32,146,1518,6,2,front,strong,1
6,57,2005,1,22,18,1,9,1,back,weak,0
8,67,1977,10,40,51,212,63,9,back,weak,0
13,19,1974,1,31,11,28,80,25,back,weak,0
11,54,2014,4,35,197,1990,6,17,back,weak,0
17,76,1991,10,32,164,19,17,11,back,average,0
11,51,2017,4,19,3,1346,3,71,back,weak,0
15,3,2002,17,21,15,328,15,22,back,weak,0
8,72,1976,4,33,20,3,27,45,back,weak,0
0,0,1976,5,34,9,44,64,40,back,weak,0
5,78,2013,6,34,182,50,208,6,mid,strong,0
14,69,2013,7,33,236,1441,1,7,back,average,0
10,58,2003,1,22,17,265,4,1,back,weak,0
10,72,1998,3,25,27,392,22,25,mid,average,0
20,29,1996,9,25,39,50,28,8,back,weak,0
23,20,1972,11,37,2,451,66,48,back,weak,0
10,60,2020,11,26,112,1729,1,20,mid,weak,0
10,62,1997,5,25,69,8,24,6,mid,weak,1
9,85,1962,7,32,43,63,95,14,mid,weak,0
8,57,1960,4,27,5,48,32,39,back,weak,0
3,71,1991,13,31,123,698,1,27,front,strong,1
2,53,2020,10,23,111,592,9,71,front,average,1
0,1,2021,12,31,204,630,9,13,front,weak,0
18,25,1985,11,26,74,249,27,39,back,weak,0
2,59,2020,9,31,148,455,131,76,front,strong,1
4,61,2011,14,26,84,1377,1,15,front,average,0
16,43,1999,2,33,29,690,3,18,back,weak,0
21,31,1984,16,28,14,228,27,27,back,weak,0
9,4,1984,11,24,10,102,53,10,mid,weak,0
5,78,2024,8,26,111,619,131,6,mid,average,0
0,0,2017,15,38,267,2129,6,2,front,weak,0
12,62,1971,10,26,46,616,6,48,mid,weak,0
6,72,1990,1,38,175,128,22,33,back,average,0
1,0,2021,10,24,128,627,9,9,front,average,0
14,60,1993,14,29,47,833,32,27,back,weak,0
5,10,1987,8,31,98,1078,6,10,mid,weak,0
2,56,2009,3,28,125,481,4,17,mid,average,0
16,84,1953,3,22,5,27,133,39,mid,weak,0
18,71,2019,20,21,19,1460,3,18,back,weak,0
9,60,2011,14,28,84,134,10,15,back,weak,0
12,46,1964,10,21,16,71,176,32,back,weak,0
24,48,1989,10,33,88,19,46,11,back,weak,0
7,56,2017,17,23,56,662,4,69,back,weak,0
4,0,1997,3,28,87,1387,6,25,front,average,0
9,60,2010,15,41,264,71,131,15,back,average,0
22,28,1978,9,26,2,273,1,34,back,weak,0
4,53,2012,13,43,300,143,131,14,mid,weak,0
8,53,2003,2,28,35,824,3,2,front,average,0
9,58,2008,5,31,137,78,2,5,mid,average,0
5,59,1993,9,39,249,241,22,9,mid,weak,1
16,39,1965,10,23,10,263,170,32,back,average,0
15,2,1986,13,37,118,101,26,14,back,weak,0
6,10,1950,6,45,4,21,154,55,mid,average,0
19,58,2013,16,24,15,71,206,68,back,weak,0
15,7,1990,12,29,53,164,18,14,back,weak,0
13,78,2010,6,22,22,150,5,6,back,weak,0
6,53,2014,16,25,65,363,9,71,mid,strong,0
18,5,1970,8,28,27,354,66,10,back,weak,0
9,34,1976,4,36,37,250,32,45,back,weak,0
16,55,2005,1,25,0,635,18,1,back,weak,0
12,67,1991,5,38,68,633,25,7,back,weak,0
7,80,1981,7,31,54,893,6,45,front,average,1
14,66,1993,3,39,148,69,29,31,back,weak,0
5,15,1958,8,30,7,320,6,20,back,average,0
11,0,1983,5,27,32,386,25,6,back,weak,0
11,42,1993,10,39,155,83,29,10,back,weak,0
4,56,2017,15,28,123,478,9,2,mid,average,1
21,43,1995,3,27,38,68,15,21,back,weak,0
20,46,1989,5,30,20,119,18,33,back,weak,0
5,14,2021,21,31,213,648,9,77,mid,average,0
13,73,2003,15,26,64,357,15,19,back,average,0
6,73,1967,3,33,60,24,11,39,front,average,0
2,35,1994,16,25,51,286,22,29,front,average,0
4,7,1954,6,26,2,5,131,20,mid,weak,0
4,37,1998,9,27,66,917,1,9,front,weak,0
16,43,2005,16,22,29,31,9,13,back,weak,0
19,39,1996,3,24,18,341,18,25,back,weak,0
5,21,2003,15,28,113,849,3,19,front,average,0
13,51,2020,5,34,170,174,210,9,mid,weak,0
16,0,2013,18,30,107,220,10,69,back,weak,0
18,1,1975,11,31,72,237,32,20,back,weak,0
3,51,2023,14,26,116,2374,6,14,front,average,0
25,66,1973,3,29,34,56,25,30,mid,average,0
12,43,1965,10,35,73,69,183,32,back,average,0
19,77,1971,1,42,125,51,34,30,back,weak,0
19,10,1984,11,36,90,225,3,10,back,weak,0
2,36,1953,4,35,22,110,6,13,front,strong,1
19,20,2002,15,26,14,560,18,14,back,weak,0
11,23,1979,14,37,113,394,32,7,back,weak,0
21,79,1987,16,26,2,17,33,29,back,average,0
6,58,2023,22,23,65,165,213,24,back,weak,0
20,65,1983,9,40,133,189,3,9,back,average,0
12,42,1985,13,34,79,475,34,13,back,average,0
11,63,2022,7,22,28,91,213,6,back,weak,0
5,62,2006,4,25,73,377,4,21,front,strong,1
22,30,1953,6,32,9,38,128,9,back,weak,0
17,61,2015,13,25,28,651,15,15,back,weak,0
19,41,2003,2,25,1,569,18,2,back,weak,0
19,78,2018,6,26,66,93,210,6,back,average,0
2,29,1958,2,37,45,17,66,6,front,average,0
21,44,1980,9,30,107,869,6,10,back,weak,0
7,65,1988,8,36,150,661,32,9,mid,average,0
5,72,1988,14,29,44,91,22,26,mid,weak,1
11,35,1962,5,40,46,9,26,58,back,weak,0
3,50,2020,13,23,114,598,9,21,front,average,0
24,33,1994,11,23,37,117,29,13,back,average,0
16,70,1972,2,31,12,415,66,30,back,weak,0
17,54,2011,18,30,88,72,205,24,back,weak,0
20,32,1977,2,29,3,196,63,18,back,weak,0
2,21,1979,4,37,103,366,32,43,mid,average,0
10,16,1994,5,31,36,728,25,4,back,weak,0
15,14,1988,14,35,29,674,32,26,back,weak,0
2,25,1975,4,36,61,705,6,49,mid,average,0
3,53,2005,18,32,159,368,4,22,mid,average,1
2,90,1954,5,32,19,163,6,9,front,average,1
11,76,1970,3,34,78,13,37,6,mid,weak,0
0,0,1961,7,44,5,37,95,14,mid,weak,0
3,5,1978,3,31,72,255,1,30,front,weak,0
3,65,1988,16,35,122,362,3,29,front,weak,0
14,7,1970,4,28,23,343,66,13,back,weak,0
11,57,2010,9,22,25,156,5,12,back,weak,0
3,44,2022,14,41,349,70,214,13,mid,average,0
8,4,1985,14,31,70,227,4,38,back,weak,0
12,61,2009,14,30,153,1821,6,15,mid,strong,0
17,56,2007,16,20,6,66,5,17,back,weak,0
0,0,1992,4,29,3,126,33,4,back,weak,0
12,8,1997,12,25,76,22,24,13,back,weak,0
3,34,2005,16,31,145,132,7,13,front,average,0
14,59,1983,7,30,37,501,32,37,back,weak,0
2,71,1992,3,38,227,465,3,18,front,strong,1
8,6,2008,16,26,19,240,7,16,mid,average,0
2,40,1975,2,29,59,138,1,18,front,strong,1
8,27,1991,9,39,199,177,22,10,mid,average,0
5,42,1984,12,35,87,190,4,70,mid,weak,0
24,0,1981,8,24,7,128,56,41,back,weak,0
1,96,1955,1,33,24,195,6,25,front,average,1
21,0,2002,5,26,7,543,18,4,back,weak,0
4,8,1993,13,33,155,761,1,14,front,weak,0
9,70,1964,1,37,42,221,170,6,back,weak,0
1,11,1989,8,29,86,623,1,9,front,weak,0
14,77,1974,7,28,8,169,34,47,back,weak,0
18,20,1963,5,37,7,9,92,9,back,weak,0
21,67,1981,9,35,5,91,54,9,front,weak,0
18,27,1983,2,25,16,40,55,43,back,weak,0
7,71,1995,13,31,98,1341,6,27,mid,weak,0
20,0,1989,2,35,68,52,33,21,back,weak,0
18,26,2002,9,29,99,377,17,20,back,weak,0
11,55,2018,21,24,80,710,4,24,back,weak,0
7,75,1983,14,25,60,165,4,38,mid,weak,0
21,68,1979,6,23,5,177,58,40,back,weak,0
6,55,1971,5,35,93,385,66,34,mid,weak,0
2,52,2021,10,36,275,490,131,9,front,strong,1
19,58,1988,2,27,4,21,33,21,back,weak,0
12,25,1958,9,29,6,14,32,59,back,weak,0
20,0,1974,6,31,90,1,78,6,back,weak,0
1,53,1997,13,33,131,378,22,14,mid,average,1
15,0,2004,9,23,24,377,15,19,back,weak,0
6,73,1968,11,26,40,72,191,46,front,average,0
4,18,1967,11,38,90,23,180,32,mid,average,0
23,0,1993,16,21,3,838,32,29,back,weak,0
13,61,2013,13,34,189,64,208,15,mid,average,1
4,56,2010,3,27,54,74,10,2,mid,weak,0
18,7,1979,2,30,25,305,1,18,back,weak,0
12,56,1982,6,33,119,399,1,6,mid,average,0
1,71,2021,8,24,126,623,9,70,front,strong,1
19,71,2009,16,36,229,1826,6,18,back,average,0
8,80,1974,14,27,21,12,64,48,mid,weak,0
6,51,2024,17,27,201,773,9,73,mid,strong,0
17,46,1997,7,31,41,831,25,7,back,weak,0
3,0,1958,1,27,30,300,6,25,mid,average,0
23,65,2010,18,27,49,34,164,18,back,weak,0
2,71,2023,19,29,181,2383,6,32,front,average,0
13,67,2018,11,28,86,767,15,10,back,weak,0
17,65,2023,7,31,148,301,210,4,back,weak,0
15,44,2017,12,19,11,1362,3,13,back,weak,0
21,42,1987,8,33,42,6,33,10,back,weak,0
21,62,1988,4,26,4,5,42,32,back,weak,0
17,8,1986,3,28,2,588,32,21,back,weak,0
2,69,2001,8,26,73,767,3,7,front,weak,1
17,45,1997,10,26,9,19,20,10,back,weak,0
7,53,2017,13,36,263,1363,3,14,back,weak,0
20,51,1983,11,37,138,189,27,70,back,weak,0
5,8,1968,3,26,32,51,191,6,mid,average,0
13,18,1998,12,32,63,456,21,11,back,weak,0
1,57,2023,17,26,179,729,9,78,front,strong,1
19,58,2001,11,28,84,507,22,9,back,weak,0
7,6,2000,1,35,97,0,19,1,mid,average,0
10,59,1989,14,27,7,122,22,26,back,weak,0
1,59,2005,7,28,90,901,3,20,mid,average,1
4,70,1985,11,25,25,571,32,39,mid,average,1
8,63,1987,14,33,158,540,34,32,mid,weak,1
3,57,2024,23,25,126,1919,1,78,front,average,0
15,56,2009,3,30,20,110,5,17,back,weak,0
15,71,2023,19,27,129,124,214,32,back,weak,0
2,23,1995,12,26,63,310,22,14,front,average,0
4,16,1968,3,34,69,33,11,6,mid,average,0
11,2,1987,6,28,96,523,34,34,back,weak,0
26,25,1991,11,28,10,437,27,13,back,weak,0
13,7,2022,9,32,223,668,9,7,mid,average,0
3,26,1993,11,24,32,244,22,11,front,average,0
15,58,2005,7,34,140,410,15,20,back,weak,0
5,60,2004,7,24,73,179,16,20,mid,strong,1
11,70,2000,10,30,91,246,15,70,back,weak,0
5,5,1991,6,32,104,683,1,32,mid,weak,0
5,46,1953,8,30,5,107,105,66,mid,weak,0
12,52,1992,15,21,11,235,18,22,mid,weak,0
21,70,2016,9,24,27,682,15,70,back,weak,0
19,0,2007,3,24,20,41,5,3,back,weak,0
15,7,1955,1,41,4,72,128,25,back,weak,0
7,79,1979,4,33,79,260,25,43,mid,weak,0
13,53,2022,16,32,230,682,9,14,mid,strong,0
5,10,1959,7,29,19,54,66,62,mid,weak,0
22,45,1987,9,28,49,55,49,11,back,weak,0
10,71,1998,2,27,34,657,3,18,front,average,0
21,1,1977,17,29,13,228,63,16,back,weak,0
16,52,1977,14,31,32,126,58,14,back,weak,1
15,55,2007,8,24,25,51,5,8,back,weak,0
25,39,1993,11,37,195,156,26,11,back,weak,0
13,70,1995,7,29,52,814,1,8,back,weak,0
6,13,1984,11,28,53,987,6,10,mid,weak,0
13,70,1994,13,29,11,121,17,27,mid,weak,0
19,51,2012,9,31,98,16,207,9,back,weak,0
16,65,2011,5,25,4,117,10,4,back,weak,0
11,89,1968,5,28,20,287,66,39,mid,average,1
8,77,1964,8,28,4,188,172,14,back,average,0
22,57,2007,12,35,247,105,11,5,back,weak,0
25,74,1975,7,32,31,6,56,47,back,weak,0
2,38,1972,6,36,75,39,1,51,front,average,0
3,62,1987,13,28,48,1087,6,26,front,weak,0
3,0,1992,8,32,134,720,1,8,front,weak,0
12,4,1993,10,31,9,756,1,10,back,weak,0
20,53,1993,4,27,9,814,32,21,back,weak,0
19,49,1994,15,28,14,541,27,22,back,weak,0
21,0,1978,14,33,40,298,1,14,back,weak,0
10,63,1990,14,36,143,737,32,26,back,weak,0
8,53,1963,4,26,14,196,170,55,mid,average,1
8,76,1981,6,38,100,118,27,6,back,weak,1
19,51,1974,13,38,109,127,1,14,back,average,0
9,4,1971,8,35,67,20,1,70,mid,weak,0
16,42,1995,6,32,53,763,25,7,back,weak,0
7,79,1966,4,24,14,64,167,38,mid,average,0
6,53,2015,12,26,49,1282,3,14,front,average,0
22,16,2012,16,41,102,106,164,35,back,weak,0
17,73,1988,10,27,12,37,33,11,back,weak,0
25,44,1989,3,30,5,22,42,6,back,weak,0
11,34,1960,10,31,23,80,66,60,mid,weak,0
4,54,1960,4,30,23,66,66,39,mid,average,0
15,72,1974,8,37,4,184,37,39,back,weak,0
18,53,2019,14,29,170,26,211,14,back,weak,0
5,51,2017,10,30,126,647,4,9,mid,weak,0
1,0,2017,14,30,192,2128,6,15,front,average,0
15,9,2011,1,26,0,1106,3,1,back,weak,0
3,75,1979,5,29,23,830,6,45,front,average,0
11,68,1989,4,31,3,359,27,32,back,weak,0
8,53,2023,16,25,97,591,131,22,front,weak,0
21,58,2002,10,31,55,86,19,9,back,weak,0
21,69,1991,2,23,5,176,18,18,back,weak,0
10,0,2018,5,32,128,90,210,4,back,weak,0
2,18,1992,16,32,142,736,1,29,front,weak,0
5,9,1987,3,31,93,1068,6,13,mid,weak,0
4,56,2012,2,36,179,256,9,2,front,strong,0
23,165,1954,2,26,4,5,134,19,back,weak,0
18,44,1983,10,34,138,438,1,10,back,weak,0
20,75,1994,10,38,208,289,18,11,back,weak,0
21,23,2014,7,28,66,90,207,7,back,weak,0
5,79,1960,1,32,12,362,6,25,mid,average,0
2,2,1965,7,26,6,206,66,20,front,average,0
8,71,2016,19,27,75,1334,3,32,mid,weak,0
13,53,2015,15,35,282,1534,1,71,back,weak,0
9,53,1997,13,28,97,1407,6,14,front,average,0
21,76,1993,16,30,47,182,33,29,back,weak,0
13,12,1971,7,42,131,64,34,20,back,weak,0
19,52,2005,2,26,1,636,18,2,back,weak,0
19,4,1980,12,43,77,82,51,21,back,weak,0
19,79,1992,16,28,67,1252,6,29,mid,weak,0
2,34,1965,8,31,48,490,6,14,front,average,0
4,1,1974,1,35,29,39,58,25,front,weak,0
5,58,1996,1,28,66,836,1,1,back,weak,0
5,37,1958,9,26,15,61,118,59,mid,weak,0
20,46,2010,1,36,219,1,205,3,mid,weak,0
1,5,1973,2,29,33,152,32,18,back,weak,0
26,79,1982,14,29,28,483,32,41,back,weak,0
9,53,1977,12,31,57,228,1,70,mid,average,0
0,0,1954,9,23,11,2,118,67,back,weak,0
18,25,2015,16,36,228,2051,6,69,mid,average,0
7,28,2014,13,33,229,2007,6,14,mid,average,0
7,57,2008,12,34,195,233,7,12,mid,average,0
16,52,2008,14,36,266,143,11,14,back,weak,0
22,67,2013,10,22,9,58,206,11,back,weak,0
4,56,2006,16,26,117,76,11,17,mid,strong,0
1,60,2014,14,29,142,222,131,15,mid,average,1
6,18,2022,9,23,30,261,210,7,back,weak,0
17,27,2002,16,31,61,98,19,19,back,weak,0
9,22,1962,3,32,13,106,66,13,mid,weak,0
9,6,1968,8,32,60,45,180,20,mid,average,0
14,45,2000,11,25,59,740,3,10,back,weak,0
5,77,2000,7,32,137,978,1,6,front,strong,0
16,8,1996,7,33,70,799,25,4,back,weak,0
21,16,1977,5,34,46,301,37,45,back,weak,0
14,0,1973,9,27,0,90,63,9,back,weak,0
14,71,1998,10,27,67,919,1,70,front,weak,1
17,65,2002,11,33,10,21,7,8,back,weak,0
6,60,2005,11,32,152,354,4,9,mid,average,0
6,58,2007,1,34,179,408,4,1,mid,strong,0
21,24,2014,5,24,43,302,5,4,back,weak,0
8,15,1961,6,25,11,41,172,20,back,average,0
8,29,2000,16,33,113,323,17,22,mid,weak,0
5,65,2020,12,30,187,64,211,75,mid,average,0
9,83,1953,3,24,6,9,125,39,back,weak,0
9,76,2023,6,23,49,132,213,6,back,weak,0
8,28,2018,13,29,141,514,9,13,back,weak,0
22,53,2012,13,27,31,1168,3,14,mid,weak,0
22,51,1993,15,32,96,266,18,22,back,weak,0
6,52,1974,13,28,55,126,1,14,front,weak,1
11,34,1976,3,26,37,152,25,43,mid,average,0
0,0,1988,9,29,8,95,18,10,back,weak,0
14,17,2014,14,23,32,616,15,15,back,weak,0
17,62,1993,5,21,4,72,17,4,back,weak,0
4,53,1981,3,39,131,118,3,25,front,strong,1
5,56,2013,2,37,199,296,9,2,front,weak,1
2,38,1978,4,28,6,797,6,43,mid,weak,0
6,9,1969,3,35,81,316,66,6,mid,average,0
22,68,2002,8,26,10,549,18,7,back,weak,0
9,4,1979,12,30,112,56,204,39,mid,weak,0
14,42,1997,7,25,37,830,25,7,back,weak,0
7,59,1970,9,33,34,33,82,70,mid,weak,0
12,0,2023,17,29,179,2379,6,78,mid,average,0
13,53,1992,15,33,104,221,22,22,mid,strong,1
5,53,1997,16,38,208,385,22,22,back,average,0
0,78,2015,6,21,5,343,5,6,mid,weak,0
14,19,2005,5,26,4,642,18,4,back,weak,0
14,9,1989,1,26,17,546,34,36,back,weak,0
21,59,1970,9,30,2,76,187,70,back,weak,0
5,100,1966,1,31,36,500,6,6,mid,strong,1
6,53,1998,14,23,30,254,17,14,mid,strong,1
16,70,2011,7,39,313,1117,3,7,back,weak,0
12,57,2011,4,28,74,114,10,5,back,weak,0
11,56,2007,16,27,37,67,5,17,back,weak,0
23,53,2011,15,26,103,108,131,22,back,weak,0
12,45,2005,17,29,67,921,3,18,back,weak,0
11,35,2001,14,35,104,93,16,13,back,weak,0
6,29,1997,11,30,59,642,3,11,front,weak,0
17,31,1981,4,25,0,322,25,21,back,weak,0
17,31,1964,3,30,18,163,66,13,back,weak,0
2,14,1991,16,32,114,703,1,29,front,average,1
1,58,2013,1,26,101,295,9,1,mid,strong,1
15,15,1976,3,36,36,15,73,43,back,weak,0
7,51,2013,8,27,33,55,208,9,back,weak,0
22,56,2013,1,23,20,40,207,1,back,weak,0
9,69,2006,13,22,0,25,2,11,mid,weak,0
19,56,2001,1,20,0,500,18,1,back,weak,0
1,15,1961,6,34,25,405,6,20,front,strong,1
9,55,2015,19,21,37,407,9,24,mid,average,0
11,53,1987,16,29,110,303,21,29,back,average,0
1,57,2019,2,22,22,2186,6,3,mid,average,1
19,69,2019,18,21,17,1456,3,32,back,weak,0
16,57,2020,14,26,108,26,213,5,back,weak,0
15,66,1997,3,24,3,5,24,25,back,weak,0
16,10,1988,4,25,3,435,37,32,back,weak,0
6,24,2018,1,32,124,82,210,1,back,weak,0
1,70,2011,7,24,68,229,9,7,front,strong,1
21,72,1971,2,28,4,55,34,49,back,weak,0
18,57,1989,2,27,17,33,39,21,mid,weak,0
10,78,1967,1,36,20,84,183,30,back,weak,0
10,60,2018,15,31,151,697,4,15,back,weak,0
3,85,1974,5,25,31,676,6,50,mid,average,1
8,69,2019,12,25,92,1689,1,11,back,average,0
9,45,2000,11,29,75,52,16,10,mid,average,0
12,24,1957,4,30,0,12,66,53,back,weak,0
17,16,2005,1,26,0,634,18,1,back,weak,0
0,0,1976,4,28,5,42,64,45,back,weak,0
17,66,1982,5,39,113,145,27,40,back,weak,0
8,78,1964,5,29,20,463,6,38,mid,weak,0
1,70,2011,11,24,72,237,9,11,front,strong,1
16,50,1979,13,33,86,278,25,14,back,average,0
0,0,1989,9,27,24,47,39,10,back,weak,0
18,4,1985,3,26,6,213,21,21,back,weak,0
20,53,2007,3,24,2,4,12,3,back,weak,0
18,73,1979,12,33,87,51,21,39,back,weak,0
18,56,2023,17,31,158,321,210,78,back,weak,0
15,31,1962,9,23,0,0,178,56,back,weak,0
9,63,1969,8,40,110,89,180,14,mid,average,0
1,53,2020,10,35,259,456,131,71,front,strong,1
11,15,1988,6,33,43,21,39,37,back,weak,0
12,50,2022,2,23,1,366,51,77,back,weak,0
4,73,1982,6,27,33,116,4,6,front,weak,0
24,50,2010,16,28,19,30,164,22,back,weak,0
3,61,2015,13,36,225,2045,6,15,mid,average,1
17,50,2019,4,26,5,250,51,73,back,weak,0
13,44,2013,11,23,48,1450,1,13,back,weak,0
6,53,1975,1,28,23,14,64,25,mid,average,1
24,66,1992,2,29,1,122,33,32,back,weak,0
6,78,2003,7,32,147,1080,1,6,mid,average,0
0,0,1983,11,27,10,57,55,70,back,weak,0
3,67,2012,10,43,297,137,131,10,mid,weak,0
13,58,1988,2,33,39,17,39,21,back,weak,0
14,50,1964,9,28,2,2,11,46,back,weak,0
5,70,2011,11,30,169,1887,6,11,front,average,1
16,21,1964,7,28,24,11,94,57,back,weak,0
3,0,1977,5,28,74,764,6,45,front,average,0
17,48,1994,15,28,26,868,32,22,back,weak,0
13,77,1976,2,36,35,14,73,30,back,weak,0
4,56,2023,18,29,180,2381,6,69,front,average,1
12,66,1988,5,29,111,4,48,7,back,weak,0
3,60,1988,1,33,123,578,1,36,front,average,1
18,67,1970,10,27,57,48,37,14,mid,average,0
3,60,1968,6,23,7,540,6,53,mid,average,1
11,82,1994,2,27,1,34,15,28,mid,weak,0
18,57,2010,7,30,50,83,10,5,back,weak,0
9,4,1985,8,30,30,115,53,9,back,weak,0
15,61,2013,13,30,102,210,10,15,back,weak,0
4,69,2019,7,30,156,724,4,7,mid,weak,0
12,63,1969,11,27,19,331,66,32,back,weak,0
14,75,1989,5,35,181,372,3,33,mid,weak,1
12,43,1989,7,26,42,472,37,34,back,weak,0
12,79,1982,14,26,25,372,25,41,back,weak,0
9,17,1952,4,47,16,61,6,53,back,weak,0
9,22,1959,8,22,7,40,170,14,mid,average,0
13,69,2021,11,42,342,339,51,11,back,weak,0
11,51,1978,1,32,68,17,54,25,back,weak,0
9,56,2013,3,26,103,299,9,17,front,strong,0
1,56,2006,16,25,85,401,4,17,mid,average,1
23,51,1976,11,34,1,170,25,70,back,weak,0
4,44,1989,11,32,100,385,3,13,mid,weak,0
2,70,1978,16,28,83,62,59,7,mid,weak,1
14,9,1962,8,28,19,68,95,46,back,weak,0
2,2,2003,15,31,179,1611,6,19,front,weak,0
12,18,1964,7,28,21,8,181,57,back,weak,0
18,80,1995,15,29,16,780,25,28,back,average,0
13,25,1980,10,28,40,99,27,70,front,weak,0
2,76,1952,4,46,17,63,6,53,front,average,1
24,0,1986,9,34,56,153,45,38,back,weak,0
8,34,1996,11,31,42,1372,6,10,back,weak,0
10,31,1992,2,28,41,1223,6,32,mid,weak,0
15,44,1983,10,40,134,191,3,10,back,average,0
23,40,1993,12,30,27,710,25,13,back,weak,0
11,7,1952,4,31,5,51,105,53,back,weak,0
11,12,1998,4,34,119,170,15,21,back,weak,0
4,15,1964,1,30,31,454,6,6,front,weak,0
16,18,2000,17,20,16,751,3,2,mid,weak,0
3,84,1974,4,35,46,675,6,45,mid,average,1
21,14,1977,11,32,21,227,1,10,back,weak,0
7,90,1969,4,33,41,35,187,39,mid,average,0
7,78,1971,1,35,60,2,1,30,back,average,0
0,0,1964,1,30,16,154,66,6,back,weak,0
13,42,1997,11,24,18,214,17,11,mid,average,0
8,75,1981,15,29,38,115,51,44,back,average,1
21,30,1971,1,47,8,3,200,30,back,weak,0
0,0,1983,4,29,34,4,50,21,back,weak,0
21,59,2000,15,25,14,495,18,19,back,weak,0
9,54,1973,13,30,32,141,34,14,back,weak,0
5,79,1963,3,29,23,439,6,39,mid,average,1
2,58,2020,14,23,115,600,9,5,front,average,0
5,48,2002,17,27,99,819,3,22,front,weak,0
12,49,1960,8,28,31,90,170,59,mid,weak,0
2,66,2014,5,29,151,205,131,4,front,strong,1
24,42,1992,12,29,75,54,17,13,back,weak,0
14,31,1984,13,25,60,221,27,39,back,weak,0
25,68,1983,12,22,11,91,45,39,back,weak,0
16,65,1983,9,27,36,394,25,9,back,weak,0
19,62,2003,5,31,95,574,18,4,back,weak,0
9,1,1998,1,23,17,228,17,1,back,weak,0
11,56,2018,3,26,63,87,210,17,mid,weak,0
8,35,2016,7,35,237,1309,3,7,back,average,0
19,63,1979,3,33,54,49,3,30,back,weak,0
5,39,1967,3,27,10,95,167,39,mid,average,0
13,58,2011,1,21,0,474,15,1,back,weak,0
12,34,2014,8,27,127,346,9,70,mid,weak,0
4,53,1989,12,34,150,632,1,14,front,strong,1
16,44,1999,12,35,163,217,15,13,back,weak,0
9,36,1996,2,29,34,99,15,18,mid,average,0
8,56,2012,2,31,179,1907,6,2,mid,strong,1
