grid,laps,year,round,driver_age,driver_experience,constructor_experience,constructorId,circuitId,avg_grid_last_5_cat,avg_finish_last_5_cat,podium_finish
21,64,1988,5,29,4,86,18,7,back,weak,0
4,47,1997,17,37,89,433,21,26,back,weak,0
14,76,1977,6,40,47,203,63,6,back,weak,0
6,11,1983,2,29,27,54,53,43,back,weak,0
4,69,2006,9,32,157,156,7,7,mid,weak,0
1,70,2020,3,35,252,442,131,11,front,strong,1
6,56,2024,5,27,129,2400,6,17,front,strong,0
23,19,1991,9,23,8,759,32,10,back,weak,0
15,68,1990,2,31,64,131,22,18,back,average,0
2,72,1980,5,28,35,89,27,40,front,average,1
15,54,1975,9,35,28,8,73,34,back,weak,0
8,58,1964,9,29,24,472,6,46,mid,strong,0
13,53,2004,17,29,66,886,3,22,mid,average,0
11,50,1998,16,34,131,194,15,22,back,weak,0
20,13,1961,7,28,0,1,175,14,back,weak,0
11,63,1997,6,32,53,1394,6,4,back,average,0
10,57,2024,6,24,71,11,215,79,back,weak,0
15,76,2007,5,26,4,415,4,6,back,average,0
14,70,2004,18,28,36,101,7,18,back,weak,0
3,67,2018,11,39,283,2161,6,10,front,strong,1
2,70,1980,13,34,79,105,3,7,front,strong,1
13,53,2024,16,32,179,363,210,14,back,weak,0
11,69,1958,10,35,4,415,105,14,back,weak,0
18,68,2019,7,21,6,1434,3,7,back,weak,0
5,53,2009,15,30,154,1823,6,22,mid,strong,0
16,7,2024,16,24,81,31,215,14,back,weak,0
5,62,1988,6,31,79,74,22,37,mid,average,1
20,24,1996,3,28,2,167,29,25,back,weak,0
22,28,1973,12,44,156,26,58,70,back,weak,0
9,55,1975,10,28,32,29,64,9,mid,weak,0
3,71,1994,13,23,7,547,3,27,front,average,1
6,18,1985,6,31,62,210,4,37,mid,weak,0
2,53,1992,15,38,239,489,3,22,front,average,1
22,9,2010,10,26,9,19,166,9,back,weak,0
13,28,1996,3,33,66,791,25,25,back,weak,0
17,12,1990,4,26,37,391,27,6,back,weak,0
17,77,1993,16,39,161,95,29,29,back,weak,0
16,53,1979,11,33,89,324,1,70,back,average,0
10,94,1955,1,27,6,20,131,25,mid,average,0
11,53,2013,12,34,188,62,208,14,mid,average,0
16,55,2018,18,28,93,781,15,69,back,weak,0
14,51,2016,10,25,47,19,210,9,back,weak,0
1,80,1973,7,29,38,163,32,47,front,average,1
9,56,2017,15,27,130,370,10,2,back,average,0
14,32,1954,8,30,2,168,105,14,back,weak,0
2,88,1967,8,38,87,14,180,48,front,weak,0
16,75,1963,5,32,0,25,26,9,back,weak,0
15,59,1952,1,33,0,2,87,66,back,strong,0
11,71,1997,14,22,13,221,17,70,mid,average,0
0,0,1979,5,26,14,96,57,45,back,weak,0
13,64,2007,4,30,73,42,8,4,back,weak,0
10,40,1980,12,40,108,424,32,21,back,weak,0
8,52,1996,16,25,40,865,1,22,mid,weak,0
8,55,1953,5,30,2,92,105,55,back,weak,0
3,6,2006,2,21,1,929,3,2,mid,weak,0
7,56,2024,5,30,188,2399,6,17,mid,average,0
2,79,1973,3,27,30,153,32,30,front,average,1
13,19,1984,13,24,12,104,53,39,mid,weak,0
21,21,2000,7,26,22,478,18,6,back,weak,0
3,11,2004,14,23,46,323,4,13,mid,average,0
16,70,2024,13,34,271,764,9,11,back,weak,0
5,55,1972,10,36,79,47,1,14,mid,average,1
8,52,1990,12,31,74,151,22,14,mid,weak,0
4,5,1977,4,35,70,763,6,43,mid,average,0
12,77,1981,8,29,31,101,51,41,back,weak,0
23,83,1974,5,31,28,1,77,50,back,weak,0
14,6,1952,6,32,2,20,133,20,back,weak,0
2,69,2019,12,30,130,419,131,11,front,average,0
6,70,2009,10,28,44,1298,1,11,mid,weak,0
16,74,1969,3,34,7,133,167,6,back,weak,0
2,35,2002,14,23,30,1059,1,13,mid,average,0
25,65,1991,6,27,11,754,32,32,back,weak,0
9,10,2014,6,20,5,305,5,6,back,weak,0
15,17,1987,1,28,15,46,18,36,back,weak,0
15,86,1955,2,49,13,202,6,6,mid,average,0
12,70,2014,7,22,6,1480,1,7,back,weak,0
5,64,1986,15,32,143,510,34,32,mid,weak,0
9,53,2020,8,24,28,589,9,14,mid,average,0
16,0,1996,12,30,30,808,25,11,back,weak,0
17,56,2003,2,28,101,823,3,2,mid,weak,0
19,56,2004,2,23,34,299,4,2,back,weak,0
20,64,2020,12,25,11,1486,3,75,back,weak,0
18,59,2020,9,22,29,1479,3,76,back,weak,0
1,15,2009,10,28,132,495,4,11,mid,weak,0
8,23,1957,4,40,41,281,6,53,back,weak,0
0,0,1991,3,29,50,99,39,21,back,weak,0
11,69,2010,8,38,295,1081,3,7,back,weak,0
8,61,1989,1,35,115,336,21,36,mid,weak,0
19,1,1996,1,37,149,163,17,1,back,weak,0
22,52,2013,15,30,104,214,10,22,back,weak,0
1,54,1989,10,35,186,382,3,11,front,average,0
23,8,1993,14,25,5,91,17,27,back,weak,0
19,63,2017,6,27,61,717,15,6,back,weak,0
5,58,2008,1,31,133,70,2,1,mid,average,1
11,62,2006,4,33,164,378,4,21,front,average,0
12,53,2021,7,34,264,23,117,34,back,average,0
24,74,1993,16,38,1,183,33,29,back,weak,0
13,23,1984,4,28,46,973,6,21,mid,weak,0
1,56,2005,19,24,69,369,4,17,front,strong,1
4,66,2023,7,38,316,572,131,4,mid,strong,1
4,53,1983,3,35,71,941,6,34,front,average,0
13,79,1981,8,28,10,443,32,41,mid,weak,0
7,64,2022,7,41,342,56,214,6,back,weak,0
14,25,1954,5,43,6,167,6,9,back,weak,0
5,18,2012,15,22,32,540,15,22,mid,weak,0
18,28,1988,10,29,116,9,48,11,back,weak,0
22,1,1991,15,23,0,60,41,22,back,weak,0
3,56,2024,19,30,202,2427,6,69,mid,average,1
2,75,1983,2,35,70,939,6,43,front,average,1
4,54,1975,10,36,67,717,6,9,mid,average,0
12,47,2003,8,26,57,343,15,7,back,weak,0
19,5,1991,16,27,65,30,40,29,mid,weak,0
24,59,1984,1,33,55,178,21,36,back,weak,0
15,9,2006,12,29,109,22,2,10,back,weak,0
20,22,2023,20,24,41,446,51,18,back,weak,0
1,52,1978,3,29,87,271,34,30,mid,average,0
13,0,2017,7,23,46,425,5,7,back,weak,0
4,37,1972,6,27,53,632,6,51,front,average,0
7,40,1978,14,32,76,294,34,14,mid,strong,1
12,67,1971,6,28,17,20,63,9,back,weak,0
23,49,1994,4,32,60,6,30,6,back,weak,0
14,57,2001,1,37,185,131,20,1,back,weak,0
10,33,1993,1,25,16,0,15,30,back,weak,0
5,38,1974,15,25,41,696,6,46,front,weak,0
